城市技能关系主键,canonical_skill,城市,预测年份,城市内技能需求占比预测,预测下限90%,预测上限90%,预测模型,趋势模型平均权重,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,每万岗位需求数预测,城市排名
CS0000082,8D,台州,2026,0.0549160143091926,0.0245303763484658,0.0853016522699195,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,549.160143091926,4
CS0000083,8D,台州,2027,0.0920609154403607,0.0616752774796339,0.1224465534010875,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,920.609154403607,4
CS0000084,8D,台州,2028,0.1543528248634715,0.1239671869027446,0.1847384628241982,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,1543.5282486347148,4
CS0000085,8D,合肥,2026,0.0217231335628992,0.0081507910547918,0.035332255676595,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,217.231335628992,18
CS0000086,8D,合肥,2027,0.0275415640313241,0.0139324419176282,0.0411506861450199,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,275.415640313241,19
CS0000087,8D,合肥,2028,0.0362867788058662,0.0226776566921703,0.049895900919562,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,362.867788058662,20
CS0000088,8D,嘉兴,2026,0.0314785067479944,0.0083552336693973,0.0553307396043691,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,314.78506747994396,13
CS0000089,8D,嘉兴,2027,0.045601992141611,0.0219158739552784,0.0694542249979857,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,456.01992141611004,13
CS0000090,8D,嘉兴,2028,0.0667219924705914,0.0428697596142167,0.0905742253269661,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,667.2199247059141,13
CS0000091,8D,天津,2026,0.008752849191201,0.0009854949006116,0.0200157018220928,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,87.52849191201,29
CS0000092,8D,天津,2027,0.0102455214921862,0.0009915869408221,0.0215083741230779,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,102.45521492186201,31
CS0000093,8D,天津,2028,0.0124154956973952,0.0021844525621734,0.0236783483282869,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,124.154956973952,31
CS0000094,8D,宁德,2026,0.0991738967122071,0.0396104789216188,0.161337205699116,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,991.738967122071,2
CS0000095,8D,宁德,2027,0.134611822655647,0.0739462431115337,0.1967751316425559,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,1346.11822655647,2
CS0000096,8D,宁德,2028,0.1870430952744625,0.1248797862875536,0.2492064042613714,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,1870.430952744625,2
CS0000097,8D,宁波,2026,0.0192166311536,0.001836559922803,0.0390312343408651,seasonal_naive+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,192.166311536,19
CS0000098,8D,宁波,2027,0.0192166311536,0.001836559922803,0.0390312343408651,seasonal_naive+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,192.166311536,22
CS0000099,8D,宁波,2028,0.0192166311536,0.001836559922803,0.0390312343408651,seasonal_naive+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,192.166311536,25
CS0000100,8D,宜宾,2026,0.1026681025280362,0.0038739586224156,0.2628766465527404,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,1026.681025280362,1
CS0000101,8D,宜宾,2027,0.1461355558931357,0.015302834150928,0.3063440999178399,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,1461.355558931357,1
CS0000102,8D,宜宾,2028,0.2112673313849825,0.0625092951928569,0.3714758754096867,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,2112.673313849825,1
CS0000103,8D,常州,2026,0.0398017982256729,0.0063051096454533,0.078218699898484,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,398.01798225672906,10
CS0000104,8D,常州,2027,0.0582346895191267,0.0200460618771556,0.0966515911919378,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,582.346895191267,10
CS0000105,8D,常州,2028,0.0887499327481154,0.0503330310753042,0.1271668344209265,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,887.4993274811541,8
CS0000106,8D,广州,2026,0.0069791460518761,0.0016726282707001,0.0122979260781986,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,69.791460518761,31
CS0000107,8D,广州,2027,0.0102729320871768,0.0049541520608543,0.0155917121134993,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,102.72932087176801,30
CS0000108,8D,广州,2028,0.0156890496489731,0.0103702696226506,0.0210078296752956,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,156.89049648973102,29
CS0000109,8D,惠州,2026,0.0478691872926584,0.0055533672349801,0.0928564915829006,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,478.691872926584,6
